author,text
bibhutibhushan bandopadhyay,প্রায় বিশ-ত্রিশ হাজার বিঘে জমি
bibhutibhushan bandopadhyay,আমাদের সেখানে নায়েব আছে কিন্তু তার ওপর বিশ্বাস করে অত জমি বন্দোবস্তের ভার দেওয়া চলে না
bibhutibhushan bandopadhyay,আমরা একজন উপযুক্ত লোক খুঁজছি
bibhutibhushan bandopadhyay,কান অনেক সময় মানুষকে প্রবঞ্চনা করে জানিতাম
bibhutibhushan bandopadhyay,"যে চাকুরির খোঁজে আজ একটি বছর কলিকাতার রাস্তাঘাট চষিয়া বেড়াইতেছি, চায়ের নিমন্ত্রণে সম্পূর্ণ অযাচিতভাবে সেই চাকুরির প্রস্তাব আপনা হইতেই সম্মুখে আসিয়া উপস্থিত হইল"
bibhutibhushan bandopadhyay,তবুও মান বজায় রাখিতে হইবে৷ অত্যন্ত সংযমের সহিত মনের ভাব চাপিয়া উদাসীনের মতো বলিলাম--ও
bibhutibhushan bandopadhyay,অবিনাশ খুব খোলাখুলি ও দিলদরিয়া মেজাজের মানুষ
bibhutibhushan bandopadhyay,বলিল- ভাবাভাবি রেখে আমি বাবাকে আজই পত্র লিখতে বসছি
bibhutibhushan bandopadhyay,আমরা একজন বিশ্বাসী লোক খুঁজছি
bibhutibhushan bandopadhyay,জমিদারীর ঘুণ কর্মচারী আমরা চাই নে- কারণ তারা প্রায়ই তোমার মতো শিক্ষিত ও বুদ্ধিমান লোকের সেখানে দরকার
bibhutibhushan bandopadhyay,জঙ্গল-মহাল আমরা নূতন প্রজার সঙ্গে বন্দোবস্ত করব
bibhutibhushan bandopadhyay,অত দায়িত্বপূর্ণ কাজ কি যার-তার হাতে ছেড়ে দেওয়া যায়
bibhutibhushan bandopadhyay,"তোমার সঙ্গে আজ আলাপ নয়, তোমার নাড়ীনক্ষত্র আমি জানি"
bibhutibhushan bandopadhyay,তুমি রাজী হয়ে যাও-আমি এখুনি বাবাকে লিখে আ্যাপয়েন্টমেন্ট লেটার আনিয়ে দিচ্ছি
bibhutibhushan bandopadhyay,কি করিয়া চাকুরি পাইলাম তাহা বেশি বলিবার আবশ্যক নাই
bibhutibhushan bandopadhyay,কারণ এ গল্পের উদ্দেশ্য স্বতন্ত্র
bibhutibhushan bandopadhyay,সংক্ষেপে বলিয়া রাখি-অবিনাশের বাড়ীর চায়ের নিমন্ত্রণ খাইবার দুই সপ্তাহ পরে একদিন নিজের জিনিসপত্র লইয়া বি এন্ ডব্লিউ রেলওয়ের একটা ছোট স্টেশনে নামিলাম
bibhutibhushan bandopadhyay,"বিস্তীর্ণ প্রান্তরে ঘন ছায়া নামিয়াছে, দূরে বনশ্রেণীর মাথায় মাথায় অল্প অল্প কুয়াশা জমিয়াছে"
bibhutibhushan bandopadhyay,"রেল-লাইনের দু-ধারে মটর-ক্ষেত, শীতল সান্ধ্য-বাতাসে তাজা মটরশাকের সুগন্ধে কেমন মনে হইল যে-জীবন আরম্ভ করিতে যাইতেছি তাহা বড় নির্জন আরণ্যক হইবে, এই শীতের সন্ধ্যা যেমন নির্জন, যেমন নির্জন এই উদার প্রান্তর আর ওই দূরের নীলবর্ণ বনশ্রেণী, তেমনি"
bibhutibhushan bandopadhyay,গোরুর গাড়ীতে প্রায় পনের-ষোল ক্রোশ চলিলাম সারারাত্রি ধরিয়া-ছইয়ের মধ্যে কলিকাতা হইতে আনীত কম্বল র্যাগ ইত্যাদি শীতে জল হইয়া গেল-কে জানিত এ-সব অঞ্চলে ভয়ানক শীত
bibhutibhushan bandopadhyay,"সকালে রৌদ্র যখন উঠিয়াছে, তখনো পথ চলিতেছি"
bibhutibhushan bandopadhyay,"দেখিলাম, জমির প্রকৃতি বদলাইয়া গিয়াছে প্রাকৃতিক অন্য মূর্তি পরিগ্রহ করিয়াছে-ক্ষেতখামার নাই, বস্তি লোকালয়ও বড়-একটা দেখা যায় না-কেবল ছোটবড় বন, কোথাও ঘন, কোথাও পাতলা, মাঝে মাঝে মুক্ত প্রান্তর, কিন্তু তাহাতে ফসলের আবাদ নাই"
bibhutibhushan bandopadhyay,কাছারিতে পৌঁছিলাম বেলা দশটার সময়
bibhutibhushan bandopadhyay,"জঙ্গলের মধ্যে প্রায় দশ-পনের বিঘা জমি পরিষ্কার করিয়া কতকগুলি খড়ের ঘর, জঙ্গলেরই কাঠ, বাঁশ ও খড় দিয়া তৈরী- ঘরে শুকনো ঘাস ও বন-ঝাউয়ের সরু গুঁড়ির বেড়া, তাহার উপর মাটি দিয়া লেপা"
bibhutibhushan bandopadhyay,"ঘরগুলি নতুন তৈরি, ঘরের মধ্যে ঢুকিয়াই টাট্কা-কাটা খড়, আধকাঁচা ঘাস ও বাঁশের গন্ধ পাওয়া গেল"
bibhutibhushan bandopadhyay,"জিজ্ঞাসা করিয়া জানিলাম, আগে জঙ্গলের ওদিকে কোথায় কাছারি ছিল, কিন্তু শীতকালে সেখানে জলাভাব হওয়ায় এই ঘর নতুন বাঁধা হইয়াছে, কারণ পাশেই একটা ঝরনা থাকায় এখানে জলের কষ্ট নাই"
bibhutibhushan bandopadhyay,জীবনের বেশীর ভাগ সময় কলিকাতায় কাটাইয়াছি
bibhutibhushan bandopadhyay,"বন্ধু-বান্ধবের সঙ্গে, লাইব্রেরী, থিয়েটার সিনেমা, গানের আড্ডা-এসব ভিন্ন জীবন কল্পনা করিতে পারি অবস্থায় চাকুরির কয়েকটি টাকার খাতিরে যেখানে আসিয়া পড়িলাম, এত নির্জন স্থানের কল্পনাও কোনোদিন করি নাই"
bibhutibhushan bandopadhyay,"দিনের পর দিন যায়, পূর্বাকাশে সূর্যের উদয় দেখি দূরের পাহাড় ও জঙ্গলের মাথায়, আবার সন্ধ্যায় সমগ্র বনঝাউ ও দীর্ঘ ঘাসের বনশীর্ষ সিঁদুরে রঙে রাঙাইয়া সূর্যকে ডুবিয়া যাইতে মধ্যে শীতকালের যে এগার-ঘন্টা ব্যাপী দিন, তা যেন খাঁ-খাঁ করে শূন্য, কি করিয়া তাহা পুরাইব, প্রথম প্রথম সেইটা আমার পক্ষে হইল মহাসমস্যা"
bibhutibhushan bandopadhyay,"কাজকর্ম করিলে অনেক করা যায় বটে, কিন্তু আমি নিতান্ত নব আগন্তক, এখনো ভালো করিয়া এখানকার লোকের ভাষা বুঝিতে পারি না, কাজের কোনো বিলিব্যবস্থাও করিতে পারি না, নিজের ঘরে বসিয়া বসিয়া, যে কয়খানি বই সঙ্গে আনিয়াছিলাম তাহা পড়িয়াই কোনো রকমে দিন কাটাই কাছারিতে লোকজন যারা আছে তারা নিতান্ত বর্বর, না বোঝে তাহারা আমার কথা, না আমি ভালো বুঝি তাহাদের কথা"
bibhutibhushan bandopadhyay,প্রথম কি কষ্টে যে কাটিল
bibhutibhushan bandopadhyay,"কতবার মনে হইল চাকুরিতে দরকার নাই, এখানে হাঁপাইয়া মরার চেয়ে আধপেটা খাইয়া কলিকাতায় থাকা ভাল"
bibhutibhushan bandopadhyay,"অবিনাশের অনুরোধে কি করিয়াছি এই জনহীন জঙ্গলে আসিয়া, এ-জীবন আমার জন্য নয়"
bibhutibhushan bandopadhyay,"রাত্রিতে নিজের ঘরে বসিয়া এই সবই ভাবিতেছি, এমন সময় ঘরের দরজা ঠেলিয়া কাছারির বৃদ্ধ মুহুরী গোষ্ঠ চক্রবর্তী প্রবেশ করিলেন"
bibhutibhushan bandopadhyay,এই একমাত্র লোক যাহার সহিত বাংলা কথা বলিয়া হাঁপ ছাড়িয়া বাঁচি
bibhutibhushan bandopadhyay,গোষ্ঠবাবু এখানে আছেন অন্তত সতের-আঠার বছর
bibhutibhushan bandopadhyay,বর্ধমান জেলায় বনপাশ স্টেশনের কাছে কোন্ গ্রামে বাড়ি
bibhutibhushan bandopadhyay,"বলিলাম, বসুন গোষ্ঠবাবু গোষ্ঠবাবু অন্য একখানা চেয়ারে বসিলেন"
bibhutibhushan bandopadhyay,"বলিলেন-আপনাকে একটা কথা বলতে এলাম নিরিবিলি, এখানকার কোনো মানুষকে বিশ্বাস করবেন না"
bibhutibhushan bandopadhyay,"লোকজন সব বড় খারাপ- দেশের মানুষও সবাই যে খুব ভাল, এমন নয় গোষ্ঠবাবু আর আমার জানতে বাকী নেই, ম্যানেজার বাবু"
bibhutibhushan bandopadhyay,সেই দুঃখে আর ম্যালেরিয়ার তাড়নায় প্রথম এখানে আসি
bibhutibhushan bandopadhyay,"প্রথম এসে বড় কষ্ট হত, এ জঙ্গলে মন হাঁপিয়ে উঠত- আজকাল আরণ্যক হয়েছে, দেশ তো দূরের কথা, পূর্ণিয়া কি পাটনাতে কাজে গিয়ে দু-দিনের বেশী থাকতে পার নে"
bibhutibhushan bandopadhyay,গোষ্ঠবাবুর মুখের দিকে সকৌতুকে চাহিলাম-বলে কি
bibhutibhushan bandopadhyay,জিজ্ঞাসা করিলাম--থাকতে পারেন না কেন
bibhutibhushan bandopadhyay,জঙ্গলের জন্য মন হাঁপায় নাকি
bibhutibhushan bandopadhyay,গোষ্ঠবাবু আমার দিকে চাহিয়া একটু হাসিলেন
bibhutibhushan bandopadhyay,"বলিলেন, ঠিক তাই, ম্যানেজার বাবু"
bibhutibhushan bandopadhyay,"নতুন এসেছেন কলকাতা থেকে, কলকাতার জন্যে মন করছে, বয়সও আপনার কম"
bibhutibhushan bandopadhyay,কোনো গোলমাল কি লোকের ভিড় আর ভাল লাগবে না
bibhutibhushan bandopadhyay,এই গত মাসে মুঙ্গের গিয়েছিলাম মোকদ্দমার কাজে- কেবল মনে হয় কবে এখান থেকে বেরুব
bibhutibhushan bandopadhyay,"ছা ছানা মনে মনে ভাবিলাম, ভগবান সে দুরবস্থার হাত থেকে আমায় উদ্ধার করুন"
bibhutibhushan bandopadhyay,তার আগে চাকুরিতে ইস্তফা দিয়া কোন্কালে কোলকাতায় ফিরিয়া গিয়াছি
bibhutibhushan bandopadhyay,"গোষ্ঠবাবু বলিলেন, বন্দুকটা রাত-বেরাত শিয়রে রেখে শোবেন, জায়গা ভালো নয়"
bibhutibhushan bandopadhyay,এর আগে একবার কাছারিতে ডাকাতি হয়ে গিয়েছে
bibhutibhushan bandopadhyay,"তবে আজকাল এখানে আর টাকাকড়ি থাকে না, এই যা কথা"
bibhutibhushan bandopadhyay,"কৌতূহলের সহিত বলিলাম, বলেন কি"
bibhutibhushan bandopadhyay,"এই বছর আট-নয় কিছুদিন থাকুন, তখন সব কথা জানতে পারবেন"
bibhutibhushan bandopadhyay,"তা ছাড়া, এই ভয়ানক জঙ্গলে ডাকাতি করে মেরে নিলে দেখবেই বা কে"
bibhutibhushan bandopadhyay,আরণ্যক গোষ্ঠবাবু চলিয়া গেলে একবার ঘরের জানালার কাছে আসিয়া দাঁড়াইলাম
bibhutibhushan bandopadhyay,"দূরে জঙ্গলের মাথায় চাঁদ উঠিতেছে- আর সেই উদীয়মান চন্দ্রের পটভূমিকায় আঁকাবাঁকা একটা বনঝাউয়ের ডাল, ঠিক যেন জাপানী চিত্রকর হকুসাই-অস্কিত একখানি চাকুরি করিবার আর জায়গা খুঁজিয়া পাই নাই"
bibhutibhushan bandopadhyay,"এ-সব বিপজ্জনক স্থান, আগে জানিলে কখনোই অবিনাশকে কথা দিতাম না"
bibhutibhushan bandopadhyay,দুর্ভাবনা সত্ত্বেও উদীয়মান চন্দ্রের সৌন্দর্য আমাকে বড় মুগ্ধ করিল
bibhutibhushan bandopadhyay,"কাছারির অনতিদূুরে একটা ছোট পাথরের টিলা, তার উপর প্রাচীন ও সুবৃহৎ একটা বটগাছ"
bibhutibhushan bandopadhyay,এই বটগাছের নাম সাহেবের বটগাছ
bibhutibhushan bandopadhyay,"কেন এই নাম হইল, তখন অনুসন্ধান করিয়াও কিছু জানিতে পারি নাই"
bibhutibhushan bandopadhyay,একদিন নিস্তব্ধ অপরাহ্ন বেড়াইতে বেড়াইতে পশ্চিম দিগন্তে সূর্যাস্তের শোভা দেখিতে টিলার উপরে উঠিলাম
bibhutibhushan bandopadhyay,"কু নাং দত , র্ ম ( ( টিলার উপরকার বটত্লায় আসন্ন সন্ধ্যার ঘন ছায়ায় দাঁড়াইয়া দাঁড়াইয়া কত দূর পর্যন্ত এক চমকে দেখিতে পাইলাম-কলুটোলার মেস, কপালীটোলার সেই ব্রিজের আড়ডাটি, গোলদিখিতে আমার প্রিয় বেঞ্চখানা- প্রতিদিন এমন সময়ে যাহাতে গিয়া বসিয়া কলেজ স্ট্রীটের বিরামহীন জনস্রোত ও বাস মোটরের ভিড় দেখিতাম"
bibhutibhushan bandopadhyay,হঠাৎ যেন কতদূরে পড়িয়া রহিয়াছে মনে আরণ্যক হইল তাহারা
bibhutibhushan bandopadhyay,মন করিয়া উঠিল- কোথায় আছি
bibhutibhushan bandopadhyay,কোথাকার জনহীন অরণ্যে-প্রান্তরে খড়ের চালায় বাস করিতেছি চাকুরির খাতিরে
bibhutibhushan bandopadhyay,"লোক নাই, জন নাই, সম্পূর্ণ নিঃসঙ্গ- -একটা কথা কহিবার মানুষ পর্যন্ত নাই"
bibhutibhushan bandopadhyay,"এদেশের এইসব মূর্খ, বর্বর মানুষ এরা একটা ভালো কথা বলিলে বুঝিতে পারে না-এদেরই সাহচর্যে দিনের পর দিন কাটাইতে হইবে"
bibhutibhushan bandopadhyay,"সেই দূরবিসপী দিগন্তব্যাপী জনহীন সন্ধ্যার মধ্যে দাঁড়াইয়া মন উদাস হইয়া গেল, কেমন ভয়ও হইল"
bibhutibhushan bandopadhyay,"তখন করিলাম, এ মাসের আর সামান্য দিনই বাকী, সামনের মাসটা কোনোরূপে চোখ বুজিয়া কাটাইব, তার পর অবিনাশকে একখানা লম্বা পত্র লিখিয়া চাকুরিতে ইস্তফা দিয়া কলিকাতায় ফিরিয়া গিয়া সভ্য বন্ধুবান্ধবদের অভ্যর্থনা পাইয়া, সভ্য খাদ্য খাইয়া, সভ্য সুরের শুনিয়া, মানুষের ভিড়ের মধ্যে ঢুকিয়া, বছ মানবের আনন্দ-উল্লাসভরা কণ্ঠস্বর শুনিয়া"
bibhutibhushan bandopadhyay,পূর্বে কি জানিতাম মানুষের মধ্যে থাকিতে এত ভালবাসি
bibhutibhushan bandopadhyay,তাহাদের প্রতি আমার যে কর্তব্য হয়তো সব সময় তাহা করিয়া উঠিতে পারি না-কিন্তু ভালবাসি তাহাদের নিশ্চয়ই
bibhutibhushan bandopadhyay,নতুবা এত কষ্ট পাইব কেন তাহাদের ছাড়িয়া আসিয়া
bibhutibhushan bandopadhyay,"প্রেসিডেন্সি কলেজের রেলিঙে বই বিক্রী করে সেই যে বৃদ্ধ মুসলমানটি, কতদিন তাহার দোকানে দাঁড়াইয়া পুরোনো বই ও মাসিক পত্রিকার পাতা উল্টাইয়াছি- কেনা উচিত ছিল হয়ত, কেনা হয় যেন পরম আত্মীয় বলিয়া মনে হইল- তাহাকে আজ কতদিন দেখি নাং"
bibhutibhushan bandopadhyay,"কাছারিতে ফিরিয়া নিজের ঘরে ঢুকিয়া টেবিলে আলো স্বালিয়া একখানা বই লইয়া বসিয়াছি, সিপাহী মুনেশ্বর সিং আসিয়া সেলাম করিয়া দাঁড়াইল"
bibhutibhushan bandopadhyay,ইতিমধ্যে দেহাতি হিন্দী কিছু কিছু বলিতে শিখিয়াছিলাম
bibhutibhushan bandopadhyay,"মুনেশ্বর বলিল- হুজুর, আমায় একখানা লোহার কড়া কিনে দেবার হুকুম যদি দেন মুহুরী বাবুকে হবে লোহার কড়া"
bibhutibhushan bandopadhyay,মুনেশ্বরের মুখ প্রাপ্তির আশায় উজ্জ্বল হইয়া উঠিল
bibhutibhushan bandopadhyay,সে বিনীত সুরে বলিল-একখানা লোহার কড়া থাকলে কত সুবিধে হুজুর
bibhutibhushan bandopadhyay,"যেখানে সেখানে সঙ্গে নিয়ে গেলাম, ভাত রাঁধা যায়, জিনিসপত্র রাখা যায়, ওতে করে ভাত খাওয়া যায়, ভাঙবে না"
bibhutibhushan bandopadhyay,"কতদিন থেকে ভাবছি একখানা কথা- কিন্তু হুজুর, বড় গরীব, একখানা কড়ার দাম ছ-আনা, অত দাম দিয়ে কড়া কিনি কেমন করে"
bibhutibhushan bandopadhyay,"তাই হুজুরের কাছে আসা, অনেক দিনের সাধ একখানা কড়া আমার হয়, হুজুর যদি মঞ্জুর করেন, হুজুর মালিক ৷ একখানা লোহার কড়াই যে এত গুণের, তাহার জন্য যে এখানে লোক রাত্রে স্বপ্ন দেখে, এ ধরনের কথা এই আমি প্রথম শুনিলাম"
bibhutibhushan bandopadhyay,এত গরিব লোক পৃথিবীতে আছে যে ছ-আনা দামের একখানা লোহার কড়াই জুটিলে স্বর্গ হাতে পায়
